measurement_group,measurement_group_label,column_name,measurement_full_name,order,abbr,unit,abbr_unit
biological,Biological,om_percent,Organic Matter,1,Organic Matter,%,Organic Matter<br>(%)
biological,Biological,min_c_96hr_mg_c_kg_day,Potentially Mineralizable Carbon,2,Min C,mg/kg/day,Min C<br>(mg/kg/day)
biological,Biological,poxc_mg_kg,Permanganate Oxidizable Carbon,3,POXC,ppm,POXC<br>(ppm)
biological,Biological,pmn_lb_ac,Potentially Mineralizable Nitrogen,4,PMN,lb/ac,PMN<br>(lb/ac)
biological,Biological,ace_g_protein_kg_soil,Autoclavable Citrate Extractable Protein,5,ACE Protein,g/kg,ACE Protein<br>(g/kg)
chemical,Chemical,ph,pH,1,pH,,pH
chemical,Chemical,ec_mmhos_cm,Electrical Conductivity,2,EC,mmhos/cm,EC<br>(mmhos/cm)
chemical,Chemical,cec_meq_100g,Cation Exchange Capacity,3,CEC,cmolc/kg,CEC<br>(cmolc/kg)
chemical,Chemical,total_c_percent,Total Carbon,4,Total C,%,Total C<br>(%)
chemical,Chemical,toc_percent,Total Organic Carbon,5,TOC,%,TOC<br>(%)
chemical,Chemical,inorganic_c_percent,Inorganic Carbon,6,Inorganic C,%,Inorganic C<br>(%)
macro,Plant Essential Macro Nutrients,total_n_percent,Total Nitrogen,1,Total N,%,Total N<br>(%)
macro,Plant Essential Macro Nutrients,no3_n_mg_kg,Nitrate Nitrogen,2,NO₃-N,ppm,NO₃-N<br>(ppm)
macro,Plant Essential Macro Nutrients,nh4_n_mg_kg,Ammonium Nitrogen,3,NH₄-N,ppm,NH₄-N<br>(ppm)
macro,Plant Essential Macro Nutrients,p_olsen_mg_kg,Phosphorous,4,P,ppm,P<br>(ppm)
macro,Plant Essential Macro Nutrients,k_mg_kg,Potassium,5,K,ppm,K<br>(ppm)
macro,Plant Essential Macro Nutrients,ca_mg_kg,Calcium,6,Ca,ppm,Ca<br>(ppm)
macro,Plant Essential Macro Nutrients,mg_mg_kg,Magnesium,7,Mg,ppm,Mg<br>(ppm)
macro,Plant Essential Macro Nutrients,s_mg_kg,Sulfur,8,S,ppm,S<br>(ppm)
micro,Plant Essential Micro Nutrients,b_mg_kg,Boron,1,B,ppm,B<br>(ppm)
micro,Plant Essential Micro Nutrients,fe_mg_kg,Iron,2,Fe,ppm,Fe<br>(ppm)
micro,Plant Essential Micro Nutrients,mn_mg_kg,Manganese,3,Mn,ppm,Mn<br>(ppm)
micro,Plant Essential Micro Nutrients,cu_mg_kg,Copper,4,Cu,ppm,Cu<br>(ppm)
micro,Plant Essential Micro Nutrients,zn_mg_kg,Zinc,5,Zn,ppm,Zn<br>(ppm)
micro,Plant Essential Micro Nutrients,na_mg_kg,Sodium,6,Na,ppm,Na<br>(ppm)
physical,Physical,texture,Texture,1,Texture,,Texture
physical,Physical,sand_percent,Sand,1,Sand,%,Sand<br>(%)
physical,Physical,silt_percent,Silt,2,Silt,%,Silt<br>(%)
physical,Physical,clay_percent,Clay,3,Clay,%,Clay<br>(%)
physical,Physical,bd_g_cm3,Bulk Density,5,Bulk Density,g/cm³,Bulk Density<br>(g/cm³)
physical,Physical,wsa_percent,Water Stable Aggregates,6,Agg. Stability,%,Agg. Stability<br>(%)
physical,Physical,whc_in_ft,Water Holding Capacity,7,WHC,in/ft,WHC<br>(in/ft)
