measurement_group,measurement_group_label,column_name,measurement_full_name,order,abbr,unit,abbr_unit
biological,Biological,OM_%,Organic Matter,1,Organic Matter,%,Organic Matter<br>(%)
biological,Biological,96hrminC_mgC.kg.day,Potentially Mineralizable Carbon,2,Min C,mg/kg/day,Min C<br>(mg/kg/day)
biological,Biological,poxC_mg.kg,Permanganate Oxidizable Carbon,3,POXC,ppm,POXC<br>(ppm)
biological,Biological,pmN_lbs.ac,Potentially Mineralizable Nitrogen,4,PMN,lbs/ac,PMN<br>(lbs/ac)
biological,Biological,ace_g.protein.kg.soil,Autoclavable Citrate Extractable Protein,5,ACE Protein,g/kg,ACE Protein<br>(g/kg)
chemical,Chemical,pH,pH,1,pH,,pH
chemical,Chemical,EC_mmhos.cm,Electrical Conductivity,2,EC,mmhos/cm,EC<br>(mmhos/cm)
chemical,Chemical,CEC_meq.100g,Cation Exchange Capacity,3,CEC,cmolc/kg,CEC<br>(cmolc/kg)
chemical,Chemical,totalC_%,Total Carbon,4,Total C,%,Total C<br>(%)
chemical,Chemical,TOC_%,Total Organic Carbon,5,TOC,%,TOC<br>(%)
chemical,Chemical,inorganicC_%,Inorganic Carbon,6,Inorganic C,%,Inorganic C<br>(%)
macro,Plant Essential Macro Nutrients,totalN_%,Total Nitrogen,1,Total N,%,Total N<br>(%)
macro,Plant Essential Macro Nutrients,nitrateN_mg.kg,Nitrate Nitrogen,2,NO₃,ppm,NO₃<br>(ppm)
macro,Plant Essential Macro Nutrients,ammN_mg.kg,Ammonium Nitrogen,3,NH₄-N,ppm,NH₄-N<br>(ppm)
macro,Plant Essential Macro Nutrients,olsenP_mg.kg,Phosphorous,4,P,ppm,P<br>(ppm)
macro,Plant Essential Macro Nutrients,K_mg.kg,Potassium,5,K,ppm,K<br>(ppm)
macro,Plant Essential Macro Nutrients,Ca_mg.kg,Calcium,6,Ca,ppm,Ca<br>(ppm)
macro,Plant Essential Macro Nutrients,Mg_mg.kg,Magnesium,7,Mg,ppm,Mg<br>(ppm)
macro,Plant Essential Macro Nutrients,S_mg.kg,Sulfur,8,S,ppm,S<br>(ppm)
micro,Plant Essential Micro Nutrients,B_mg.kg,Boron,1,B,ppm,B<br>(ppm)
micro,Plant Essential Micro Nutrients,Fe_mg.kg,Iron,2,Fe,ppm,Fe<br>(ppm)
micro,Plant Essential Micro Nutrients,Mn_mg.kg,Manganese,3,Mn,ppm,Mn<br>(ppm)
micro,Plant Essential Micro Nutrients,Cu_mg.kg,Copper,4,Cu,ppm,Cu<br>(ppm)
micro,Plant Essential Micro Nutrients,Zn_mg.kg,Zinc,5,Zn,ppm,Zn<br>(ppm)
micro,Plant Essential Micro Nutrients,Na_mg.kg,Sodium,6,Na,ppm,Na<br>(ppm)
physical,Physical,texture,Texture,1,Texture,,Texture
physical,Physical,sand_%,Sand,1,Sand,%,Sand<br>(%)
physical,Physical,silt_%,Silt,2,Silt,%,Silt<br>(%)
physical,Physical,clay_%,Clay,3,Clay,%,Clay<br>(%)
physical,Physical,bd_g.cm3,Bulk Density,5,Bulk Density,g/cm³,Bulk Density<br>(g/cm³)
physical,Physical,wsa_%,Water Stable Aggregates,6,Agg. Stability,%,Agg. Stability<br>(%)
physical,Physical,WHC_in.ft,Water Holding Capacity,7,WHC,in/ft,WHC<br>(in/ft)
