year,dummy,category,sampleLabel,sampleId,farmName,producerName,producerId,fieldName,fieldId,county,crop,texture,longitude,latitude,measurement,value,measurement_group,order,measurement_full_name,abbr,unit,abbr_unit
2022,dummy,Other fields,Result:,22-RHM05-02,Farm 085,Warren,RHM05,Field 02,2,County 18,Green Manure,Sandy Loam,-123,47,sand_%,69,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-ENR07-02,Farm 058,Alecia,ENR07,Field 02,2,County 11,Vegetable,Silt Loam,-122,47,sand_%,11,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-ZTD04-03,Farm 061,Samantha,ZTD04,Field 03,3,County 13,Herb,Silt Loam,-120,46,sand_%,36,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-BKG08-02,Farm 107,Majdiyya,BKG08,Field 02,2,County 14,Cereal Grain,Silt Loam,-117,47,sand_%,24,physical,1,Sand,Sand,%,Sand <br>(%)
2023,dummy,Other fields,Result:,23-VAY01-01,Farm 160,Greydi,VAY01,Field 01,1,County 17,Native Land,Loamy Sand,-118,49,sand_%,80,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-UPD03-02,Farm 070,Faith,UPD03,Field 02,2,County 14,Vegetable,Silt Loam,-117,47,sand_%,22,physical,1,Sand,Sand,%,Sand <br>(%)
2023,dummy,Other fields,Result:,23-VWK08-01,Farm 157,Gregory,VWK08,Field 01,1,County 23,Vegetable,Sandy Loam,-123,48,sand_%,62,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-WBI03-01,Farm 049,Ronald,WBI03,Field 01,1,County 10,Native Land,Loam,-117,48,sand_%,48,physical,1,Sand,Sand,%,Sand <br>(%)
2023,dummy,Other fields,Result:,23-NFO07-01,Farm 116,Tyler,NFO07,Field 01,1,County 20,Forest,Loamy Sand,-123,46,sand_%,80,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-PUN05-01,Farm 036,Madeeha,PUN05,Field 01,1,County 8,Commercial Tree,Sandy Loam,-123,47,sand_%,69,physical,1,Sand,Sand,%,Sand <br>(%)
2023,dummy,Other fields,Result:,23-RDQ08-02,Farm 136,Zachery,RDQ08,Field 02,2,County 7,Commercial Tree,Silt Loam,-123,47,sand_%,40,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-IOX04-08,Farm 060,Alisa,IOX04,Field 08,8,County 13,Herb,Silt Loam,-121,46,sand_%,31,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-HAO03-02,Farm 084,Brandi,HAO03,Field 02,2,County 18,Native Land,Loam,-123,47,sand_%,41,physical,1,Sand,Sand,%,Sand <br>(%)
2023,dummy,Other fields,Result:,23-HDQ07-01,Farm 158,Phayd,HDQ07,Field 01,1,County 23,Berry,Sandy Loam,-123,49,sand_%,56,physical,1,Sand,Sand,%,Sand <br>(%)
2022,dummy,Other fields,Result:,22-COZ08-04,Farm 063,Nickolas,COZ08,Field 04,4,County 14,Vegetable,Silt Loam,-117,47,sand_%,19,physical,1,Sand,Sand,%,Sand <br>(%)
