"sampleId","category","Field","Texture","Sand","Silt","Clay"
"22-RHM05-02","Other fields","Field 02","Sandy Loam",69,21,10
"22-ENR07-02","Other fields","Field 02","Silt Loam",11,79,10
"22-ZTD04-03","Other fields","Field 03","Silt Loam",36,51,13
"22-BKG08-02","Other fields","Field 02","Silt Loam",24,62,14
"23-VAY01-01","Other fields","Field 01","Loamy Sand",80,16,4
"22-UPD03-02","Other fields","Field 02","Silt Loam",22,57,21
"23-VWK08-01","Other fields","Field 01","Sandy Loam",62,26,12
"22-WBI03-01","Other fields","Field 01","Loam",48,45,7
"23-NFO07-01","Other fields","Field 01","Loamy Sand",80,14,6
"22-PUN05-01","Other fields","Field 01","Sandy Loam",69,27,4
"23-RDQ08-02","Other fields","Field 02","Silt Loam",40,50,10
"22-IOX04-08","Other fields","Field 08","Silt Loam",31,56,13
"22-HAO03-02","Other fields","Field 02","Loam",41,43,16
"23-HDQ07-01","Other fields","Field 01","Sandy Loam",56,28,16
"22-COZ08-04","Other fields","Field 04","Silt Loam",19,60,21
"23-TKR05-01","Other fields","Field 01","Sandy Loam",71,26,3
"23-OCA05-02","Other fields","Field 02","Sandy Loam",66,28,6
"23-DHQ03-01","Other fields","Field 01","Silt Loam",29,59,12
"23-GMI09-03","Other fields","Field 03","Silt Loam",26,61,13
"22-IQK02-01","Other fields","Field 01","Sandy Loam",61,31,8
"23-GST07-02","Other fields","Field 02","Loam",38,46,16
"23-PJP06-05","Other fields","Field 05","Silt Loam",27,63,10
"22-SNO01-02","Other fields","Field 02","Sandy Loam",62,31,7
"22-WBI03-02","Other fields","Field 02","Silt Loam",38,50,12
"22-OSE06-02","Other fields","Field 02","Silt Loam",18,59,23
"22-EHJ01-02","Other fields","Field 02","Loamy Sand",84,12,4
"22-LPY02-01","Other fields","Field 01","Silt Loam",24,52,24
"22-IDX04-04","Other fields","Field 04","Silt Loam",20,68,12
"22-BOA05-03","Other fields","Field 03","Loam",48,43,9
"23-UVF07-03","Other fields","Field 03","Sandy Loam",64,30,6
"22-SWA09-01","Other fields","Field 01","Silt Loam",20,60,20
"23-VXE09-01","Other fields","Field 01","Silt Loam",26,64,10
"23-XXY09-01","Other fields","Field 01","Clay Loam",32,40,28
"22-EUB06-01","Other fields","Field 01","Loam",47,44,9
"22-IOX04-04","Other fields","Field 04","Clay Loam",30,45,25
"22-IDX04-01","Other fields","Field 01","Silt Loam",37,50,13
"22-BOA05-05","Other fields","Field 05","Sandy Loam",55,37,8
"22-CKY09-01","Other fields","Field 01","Sandy Loam",74,20,6
"22-AUL06-02","Other fields","Field 02","Clay Loam",33,40,27
"22-XAA04-01","Other fields","Field 01","Silt Loam",22,57,21
"22-RUX09-02","Other fields","Field 02","Sandy Loam",61,31,8
"22-IOX04-06","Other fields","Field 06","Silt Loam",31,50,19
"22-KQD07-01","Other fields","Field 01","Silt Loam",32,54,14
