measurement_group,measurement_group_label,column_name,order,abbr,unit,abbr_unit
biological,Biological,om_percent,1,Organic Matter,%,Organic Matter<br>(%)
biological,Biological,min_c_96hr_mg_c_kg_day,2,Min C,mg/kg/day,Min C<br>(mg/kg/day)
biological,Biological,poxc_mg_kg,3,POXC,ppm,POXC<br>(ppm)
biological,Biological,pmn_lb_ac,4,PMN,lb/ac,PMN<br>(lb/ac)
biological,Biological,ace_g_protein_kg_soil,5,ACE Protein,g/kg,ACE Protein<br>(g/kg)
chemical,Chemical,ph,1,pH,,pH
chemical,Chemical,ec_mmhos_cm,2,EC,mmhos/cm,EC<br>(mmhos/cm)
chemical,Chemical,cec_meq_100g,3,CEC,cmolc/kg,CEC<br>(cmolc/kg)
chemical,Chemical,total_c_percent,4,Total C,%,Total C<br>(%)
chemical,Chemical,toc_percent,5,TOC,%,TOC<br>(%)
chemical,Chemical,inorganic_c_percent,6,Inorganic C,%,Inorganic C<br>(%)
macro,Plant Essential Macro Nutrients,total_n_percent,1,Total N,%,Total N<br>(%)
macro,Plant Essential Macro Nutrients,no3_n_mg_kg,2,NO₃-N,ppm,NO₃-N<br>(ppm)
macro,Plant Essential Macro Nutrients,nh4_n_mg_kg,3,NH₄-N,ppm,NH₄-N<br>(ppm)
macro,Plant Essential Macro Nutrients,p_olsen_mg_kg,4,P,ppm,P<br>(ppm)
macro,Plant Essential Macro Nutrients,k_mg_kg,5,K,ppm,K<br>(ppm)
macro,Plant Essential Macro Nutrients,ca_mg_kg,6,Ca,ppm,Ca<br>(ppm)
macro,Plant Essential Macro Nutrients,mg_mg_kg,7,Mg,ppm,Mg<br>(ppm)
macro,Plant Essential Macro Nutrients,s_mg_kg,8,S,ppm,S<br>(ppm)
micro,Plant Essential Micro Nutrients,b_mg_kg,1,B,ppm,B<br>(ppm)
micro,Plant Essential Micro Nutrients,fe_mg_kg,2,Fe,ppm,Fe<br>(ppm)
micro,Plant Essential Micro Nutrients,mn_mg_kg,3,Mn,ppm,Mn<br>(ppm)
micro,Plant Essential Micro Nutrients,cu_mg_kg,4,Cu,ppm,Cu<br>(ppm)
micro,Plant Essential Micro Nutrients,zn_mg_kg,5,Zn,ppm,Zn<br>(ppm)
micro,Plant Essential Micro Nutrients,na_mg_kg,6,Na,ppm,Na<br>(ppm)
physical,Physical,texture,1,Texture,,Texture
physical,Physical,sand_percent,1,Sand,%,Sand<br>(%)
physical,Physical,silt_percent,2,Silt,%,Silt<br>(%)
physical,Physical,clay_percent,3,Clay,%,Clay<br>(%)
physical,Physical,bd_g_cm3,5,Bulk Density,g/cm³,Bulk Density<br>(g/cm³)
physical,Physical,wsa_percent,6,Agg. Stability,%,Agg. Stability<br>(%)
physical,Physical,whc_in_ft,7,WHC,in/ft,WHC<br>(in/ft)
