year,sample_id,farm_name,producer_id,field_name,field_id,county,crop,longitude,latitude,texture,bd_g_cm3,pmn_lb_ac,nh4_n_mg_kg,no3_n_mg_kg,poxc_mg_kg,ph,ec_mmhos_cm,k_mg_kg,ca_mg_kg,mg_mg_kg,na_mg_kg,cec_meq_100g,b_mg_kg,cu_mg_kg,fe_mg_kg,mn_mg_kg,s_mg_kg,zn_mg_kg,total_c_percent,total_n_percent,ace_g_protein_kg_soil,sand_percent,silt_percent,clay_percent,min_c_96hr_mg_c_kg_day,p_olsen_mg_kg,wsa_percent,om_percent,toc_percent,whc_in_ft,inorganic_c_percent
2023,23-WUY05-01,Farm 150,WUY05,Field 01,1,County 9,Hay/Silage,-119,49,Clay Loam,1.3,67.13,1.6,9.2,496,6.7,0.42,498,1380,145.2,16.1,7.8,0.22,0.6,26,1.5,4.29,1.7,1.85,0.16,6.74,44,23,33,35.6,15,88.5,4.5,1.85,1.01,
2022,22-RHM05-02,Farm 085,RHM05,Field 02,2,County 18,Green Manure,-123,47,Sandy Loam,0.88,129.97,21.6,6.1,571,5.9,0.05,198,780,96.8,20.7,10.5,0.09,0.4,28,2.7,9.41,0.8,2.88,0.18,21.5,69,21,10,30,37,92.6,5.8,2.88,1.08,
2022,22-ENR07-02,Farm 058,ENR07,Field 02,2,County 11,Vegetable,-122,47,Silt Loam,1.21,122.17,8.1,25.3,419,6.3,0.6,294,1760,266.2,20.7,13,0.41,4.2,141,4.1,26.73,4.2,1.68,0.14,10.9,11,79,10,15,73,91.3,2.4,1.68,2.77,
2022,22-ZTD04-03,Farm 061,ZTD04,Field 03,3,County 13,Herb,-120,46,Silt Loam,1.37,95.24,13.8,16.9,424,6.8,2.18,229,3380,738.1,80.5,14.4,0.72,1.1,37,11.5,51.7,2.4,1.4,0.12,5.53,36,51,13,67.5,30,94.3,2.9,1.4,1.93,
2023,23-WUY05-03,Farm 150,WUY05,Field 03,3,County 9,"Pasture, Seeded",-119,49,Sandy Loam,1.22,111.35,3.9,6.7,547,7.6,0.6,273,2820,193.6,13.8,10.1,0.25,0.7,15,1.7,3.29,0.8,1.65,0.16,4.2,64,33,3,50.6,8,84.6,6.7,1.53,1.28,0.12
2022,22-BKG08-02,Farm 107,BKG08,Field 02,2,County 14,Cereal Grain,-117,47,Silt Loam,1.14,61.92,12.4,4.3,235,5.5,0.81,372,1480,229.9,16.1,12.4,0.18,1,64,9,4.51,0.5,1.55,0.13,10.3,24,62,14,25.5,33,86.6,3.2,1.55,2.25,
2023,23-VAY01-01,Farm 160,VAY01,Field 01,1,County 17,Native Land,-118,49,Loamy Sand,1.44,-77.9,2.4,21.5,501,5.5,0.55,289,1140,133.1,23,12.9,0.12,0.5,44,4.4,9.13,34,2.25,0.15,7.73,80,16,4,30.6,27,86.9,27,2.25,0.84,
2022,22-UPD03-02,Farm 070,UPD03,Field 02,2,County 14,Vegetable,-117,47,Silt Loam,1.24,113.23,12.4,7.4,480,5.9,0.34,355,2080,229.9,16.1,14.8,0.21,1.4,85,17.1,8.26,0.9,2.37,0.17,6.82,22,57,21,24,29,82.5,4.2,2.37,2.14,
2023,23-VWK08-01,Farm 157,VWK08,Field 01,1,County 23,Vegetable,-123,48,Sandy Loam,0.84,274.24,2.3,2.3,965,6.3,1.64,253,2680,423.5,85.1,16.6,1.55,1.1,129,9.9,30.25,7.8,4.34,0.33,9.92,62,26,12,64.1,40,95.8,7.9,4.34,1.24,
2022,22-WBI03-01,Farm 049,WBI03,Field 01,1,County 10,Native Land,-117,48,Loam,0.98,141.54,19.2,54.6,1055,6,0.57,733,880,108.9,55.2,16.2,0.31,0.5,31,11.4,21.16,0.6,3.31,0.19,7.83,48,45,7,13.4,16,72.7,5.7,3.31,1.69,
